		Mar049	Mar076	Mar080	MSMM6	MSMOE2
Khakassia_2623	1	237	108	226	137	173
Khakassia_2623	1	239	116	240	163	175
Khakassia_2625	1	233	102	238	137	167
Khakassia_2625	1	235	104	246	151	169
Khakassia_2626	1	237	104	236	137	165
Khakassia_2626	1	239	106	240	145	167
Khakassia_2707	1	215	108	228	137	173
Khakassia_2707	1	235	112	238	145	175
Khakassia_2708	1	231	106	226	137	171
Khakassia_2708	1	235	114	238	137	173
Khakassia_2712	1	211	104	226	137	169
Khakassia_2712	1	231	104	240	137	171
Khakassia_2717	1	205	110	226	137	171
Khakassia_2717	1	207	118	246	145	173
Khakassia_2718	1	235	108	228	141	171
Khakassia_2718	1	237	110	246	149	173
Khakassia_2721	1	225	104	226	137	169
Khakassia_2721	1	227	104	238	159	171
Khakassia_2722	1	215	110	230	137	169
Khakassia_2722	1	217	124	240	145	171
Karasug_5052	2	233	118	224	143	161
Karasug_5052	2	235	130	238	147	163
Karasug_5053	2	229	118	224	143	169
Karasug_5053	2	231	118	234	147	177
Karasug_5054	2	233	118	224	137	169
Karasug_5054	2	235	130	238	137	177
Karasug_5055	2	237	118	224	143	165
Karasug_5055	2	239	120	234	143	173
Karasug_5057	2	229	120	216	147	165
Karasug_5057	2	231	120	224	147	167
Karasug_5058	2	235	118	224	143	159
Karasug_5058	2	237	118	236	153	167
Karasug_5059	2	229	118	236	143	169
Karasug_5059	2	231	120	238	143	171
Karasug_5091	2	235	128	220	137	165
Karasug_5091	2	237	128	242	149	167
Khindiktikul_2496	3	229	118	236	137	171
Khindiktikul_2496	3	235	120	240	189	173
Khindiktikul_2497	3	223	118	218	137	173
Khindiktikul_2497	3	229	120	236	147	179
Khindiktikul_2498	3	223	118	240	137	173
Khindiktikul_2498	3	233	120	244	189	179
Khindiktikul_2499	3	227	116	218	147	175
Khindiktikul_2499	3	233	118	244	147	177
Khindiktikul_2502	3	281	118	232	131	175
Khindiktikul_2502	3	283	120	242	137	177
Khindiktikul_2518	3	239	118	220	149	175
Khindiktikul_2518	3	283	120	236	157	175
Khindiktikul_2519	3	231	116	220	143	175
Khindiktikul_2519	3	233	120	242	149	177
Khindiktikul_2523	3	241	120	240	137	167
Khindiktikul_2523	3	243	122	244	189	175
Khindiktikul_2524	3	229	118	240	137	159
Khindiktikul_2524	3	233	118	240	149	171
Khindiktikul_2525	3	269	130	242	137	173
Khindiktikul_2525	3	269	130	242	147	177
Khindiktikul_2531	3	243	122	238	143	157
Khindiktikul_2531	3	285	130	244	155	159
